Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
649000,7571.739367,1102.1097180000002
650000,7577.74841,1103.8773930000002
651000,7585.994110000001,1105.6848620000003
652000,7592.566621000001,1107.4399930000002
653000,7602.447883000001,1109.2033010000002
654000,7611.629674000001,1110.9792290000003
655000,7622.558252000001,1112.8127950000003
656000,7630.013317000001,1114.5890200000003
657000,7640.711439000001,1116.3845820000004
658000,7649.694252,1118.1805840000004
659000,7657.301409000001,1119.9149410000005
660000,7678.2823690000005,1121.7925860000005
661000,7692.876589,1123.5789990000005
662000,7702.394147000001,1125.3376460000006
663000,7711.048542,1127.0696590000007
664000,7718.439182,1128.8419990000007
665000,7731.843271,1130.6242200000006
666000,7741.2095659999995,1132.3923130000005
667000,7764.365057,1134.3227440000005
668000,7773.048425,1136.1310330000006
669000,7780.579846,1137.9128480000006
670000,7790.828461,1139.6751450000006
671000,7800.533224,1141.4284700000005
672000,7807.313708,1143.1808970000004
673000,7813.813278,1144.9512690000004
674000,7820.878032,1146.7415850000004
675000,7828.916778999999,1148.5120980000004
676000,7835.376917,1150.2502940000004
677000,7850.537155,1152.4717190000003
678000,7860.172066,1154.2802400000003
679000,7869.434208,1156.0869270000003
680000,7878.925021,1157.9053690000003
681000,7901.941934,1160.0126360000004
682000,7918.734886,1161.8790690000003
683000,7964.663998,1163.8723070000003
684000,7976.173936,1165.7104300000003
685000,7983.512615000001,1167.5077200000003
686000,7992.979447000001,1169.2919060000004
687000,8006.334557000001,1171.1040080000005
688000,8027.501297000001,1173.4491530000005
689000,8034.525507,1175.2431210000004
690000,8043.833033,1177.1150990000003
691000,8050.469175,1178.9043030000003
692000,8057.97803,1180.6927150000004
693000,8065.013087,1182.4881440000004
694000,8074.837391,1184.3174010000005
695000,8084.715671,1186.1108630000006
696000,8093.634846,1187.9193810000006
697000,8101.485949,1189.7152200000005
698000,8110.628261,1191.5173410000004
699000,8130.236992,1193.4315040000004
700000,8147.562803,1195.2720080000004
701000,8162.853478999999,1197.1416780000004
702000,8170.98597,1198.9745990000004
703000,8181.564845999999,1200.8407270000002
704000,8196.163230999999,1202.9592630000002
705000,8209.317680999999,1204.7665520000003
706000,8224.676537,1206.6806580000002
707000,8235.96588,1208.5018100000002
708000,8244.442782,1210.3215050000001
709000,8262.322595,1212.442119
710000,8278.176413,1214.352226
711000,8296.837941,1216.24412
712000,8317.149428,1218.179899
713000,8340.544248,1220.280526
714000,8357.319569,1222.115707
715000,8377.021928,1224.1286209999998
716000,8396.735487,1226.0738459999998
717000,8409.960064,1227.9461529999999
718000,8421.348957,1229.790147
719000,8456.123211,1231.981143
720000,8472.007374,1233.8296659999999
721000,8490.798108,1235.745964
722000,8500.815604000001,1237.55212
723000,8509.867022,1239.330052
724000,8519.662505,1241.098419
725000,8528.95001,1242.854852
726000,8557.716073,1244.777548
727000,8574.520317,1246.707121
728000,8588.866616000001,1248.5356479999998
729000,8600.171503000001,1250.3647179999998
730000,8613.828376000001,1252.3188469999998
731000,8625.013477,1254.1457809999997
732000,8635.792246,1255.9740899999997
733000,8646.253091,1257.7958559999997
734000,8665.052971000001,1259.6929509999998
735000,8673.777784000002,1261.4850099999999
736000,8685.422692000002,1263.2960269999999
737000,8694.101219000002,1265.1216029999998
738000,8704.867873000001,1266.9534829999998
739000,8722.751523,1268.8557049999997
740000,8732.886912,1270.6916759999997
741000,8746.100457,1272.5582579999998
742000,8756.50064,1274.3823469999998
743000,8766.888928,1276.2027549999998
744000,8783.57785,1278.109951
745000,8793.862366,1279.940421
746000,8813.646942,1281.838082
747000,8822.11248,1283.682263
748000,8835.405363,1285.7516329999999
749000,8845.749796,1287.5960959999998
750000,8858.20095,1289.4195149999998
751000,8872.753301,1291.5562759999998
752000,8889.498497,1293.72644
753000,8900.594381,1295.6650579999998
754000,8911.355342,1297.5123479999997
755000,8924.608962,1299.3587459999997
756000,8935.421716,1301.2017099999996
757000,8949.066846000002,1303.0439369999997
758000,8963.808707000002,1304.9643409999996
759000,8982.403000000002,1306.8756689999996
760000,8999.102665000002,1308.7635049999997
761000,9012.923680000002,1311.0471519999996
762000,9028.608967000002,1312.9203329999996
763000,9039.092616000002,1314.8295359999995
